ProbEdge,Iteration,meanRed,meanMI,meanHamming,meanMaxStep,meanCMI,proportion_negative,meanSyn,meanNonSyn
0.01,1001,0.2315249365060276,0.499131459634443,0.4999902818270165,50.0,0.2676065231284154,3.968253968253968,0.06921621296199511,0.24395225673197896
0.01,1002,0.25081614679419995,0.5075079745920947,0.48926193033604415,68.0,0.25669182779789473,3.4328678839957036,0.062480776039757935,0.2619535485269074
0.01,1003,0.22295257622929712,0.5236146925278592,0.5256924198250729,45.0,0.30066211629856204,1.680672268907563,0.0808036470985409,0.22814499030327728
0.01,1004,0.28298435255268567,0.46167746794766995,0.4724457402008422,91.0,0.17869311539498423,4.456538170823885,0.026326706485158398,0.2974118865238189
0.01,1005,0.33023681997025345,0.5393653956972713,0.4754439438112907,61.0,0.20912857572701776,0.8979591836734694,0.039500504102572866,0.3335869934173713
0.01,1006,0.2899634078739449,0.5266576469813632,0.5203213938636678,19.0,0.2366942391074182,1.0629251700680271,0.07379804270694057,0.2938714595561633
0.01,1007,0.3250717289845938,0.6088086807344872,0.49221713175065945,55.0,0.2837369517498934,0.9757045675413023,0.03797432881686631,0.3286488884612432
0.01,1008,0.2378934246348363,0.49890217936315445,0.5022846541213888,45.0,0.2610087547283181,3.1391465677179964,0.0669094255366914,0.2477717272415292
0.01,1009,0.17525450445988822,0.4238778063745272,0.5014605025683743,85.0,0.24862330191463897,5.446064139941691,0.06691552730183464,0.18920287703422525
0.01,1010,0.2410548262545002,0.5015857312823561,0.5252994054764762,46.0,0.26053090502785575,2.9261704681872747,0.08319035721722808,0.25082879607626357
0.01,1011,0.16791921674105578,0.41108958669173296,0.4961548428895367,193.0,0.2431703699506771,10.217687074829932,0.07656334337921378,0.19574258431952565
0.01,1012,0.26013557203608634,0.5327761059856619,0.5152519783423573,20.0,0.27264053394957555,6.979591836734694,0.025744240760044106,0.2815859660633519
0.01,1013,0.18244387070459173,0.48865390608113884,0.5108086542887832,51.0,0.30621003537654706,3.686358754027927,0.06400241420888061,0.19187648490166356
0.01,1014,0.23607697928274982,0.4804687068026651,0.5167840322942363,22.0,0.24439172751991525,3.5667189952904237,0.06322841924616183,0.2471472056527714
0.01,1015,0.23097639004280807,0.4690019018994038,0.5173177842565597,33.0,0.23802551185659562,4.11661807580175,0.0585347816326085,0.24340614479851494
0.01,1016,0.2636954391476956,0.5114885888655559,0.5007702930796378,52.0,0.2477931497178603,1.3147153598281418,0.04867317232869115,0.2678569087420085
0.01,1017,0.2990726289877844,0.5098111018208639,0.4757232563355012,90.0,0.2107384728330794,1.2904238618524333,0.024657867761288407,0.30330473669362334
0.01,1018,0.21436603161260545,0.5233775416085888,0.5372886297376094,37.0,0.30901150999598326,2.752186588921283,0.08177588012935402,0.22274707144605096
0.01,1019,0.21141891516445158,0.4567543980623515,0.4963119533527697,39.0,0.24533548289789991,2.453061224489796,0.04066148198640781,0.2177581058706597
0.01,1020,0.292338219662806,0.5082993517197056,0.4779640427599611,24.0,0.21596113205689962,1.7210884353741498,0.055098310476781584,0.29842262764545396
0.01,1021,0.2261964328267152,0.4994150129276164,0.530988791793313,23.0,0.27321858010090116,1.584663120567376,0.08695670650470078,0.23123875902020607
0.01,1022,0.3330873522303299,0.5221247377049256,0.5046984327290345,57.0,0.18903738547459567,1.6089596971369982,0.025744240760044102,0.33895521956259733
0.01,1022,0.14110247132199027,0.3672607470651738,0.46513560071344723,57.0,0.22615827574318348,7.352470387365276,0.0710026947943578,0.15793505130979996
0.01,1023,0.15529454846624005,0.44219005259235755,0.5269512703040399,30.0,0.28689550412611736,2.822157434402332,0.07773711764834543,0.162062058750619
0.01,1024,0.24249914808479925,0.5005225202014097,0.5199144800777453,25.0,0.2580233721166106,0.9741496598639456,0.07832017696528404,0.24565515265635152
0.01,1025,0.21641458185532594,0.4919583602583113,0.5195043731778425,48.0,0.2755437784029853,4.66530612244898,0.0395677813744096,0.22894135503559687
0.01,1026,0.1859740405161097,0.43789058742159,0.5121064139941691,42.0,0.2519165469054802,1.9948979591836735,0.06657681993935284,0.19111472386444048
0.01,1027,0.28072961191587437,0.5563509099133817,0.539484126984127,13.0,0.2756212979975073,1.1473429951690821,0.05473245173760918,0.2846231850431903
0.01,1028,0.2824375267457251,0.5389856197217656,0.5289571652836959,26.0,0.2565480929760404,3.8618524332810047,0.03898669225662053,0.29534908093817724
0.01,1029,0.2975928286702974,0.5391434382745014,0.517603498542274,16.0,0.24155060960420388,2.4081632653061225,0.02958719679806604,0.30566627973789817
0.01,1030,0.24625693779410568,0.4679287105867448,0.5041690962099125,61.0,0.22167177279263905,2.9684601113172544,0.04110584848848605,0.25504815114118307
0.01,1031,0.24439213550283315,0.4517725885821551,0.48572349240448054,51.0,0.20738045307932187,5.7873254564983885,0.03170350165679912,0.2613522241225899
0.01,1032,0.2701152361929749,0.5161991430649109,0.5151914480077745,29.0,0.24608390687193601,2.2802721088435374,0.04956403119097097,0.27757489385803796
0.01,1033,0.18340583673804658,0.4634190432059214,0.5359558316080055,15.0,0.28001320646787486,1.1980676328502415,0.08106337650073968,0.18661277810726323
0.01,1034,0.3060300398453111,0.5725962082641503,0.5142944606413994,27.0,0.2665661684188391,2.2040816326530615,0.058153278529328487,0.314237844182636
0.01,1035,0.37044397509841775,0.5945535099889592,0.5199146783449109,20.0,0.22410953489054136,0.3964059196617336,0.04225986605711005,0.37208646849648963
0.01,1036,0.2760514333003546,0.5263994243876488,0.5140634110787172,35.0,0.2503479910872941,2.1989795918367347,0.0459791261713998,0.28329203902482253
0.01,1037,0.3346330913965573,0.5598403934981464,0.49667638483965015,48.0,0.22520730210158912,0.7806122448979592,0.045182184873095096,0.33762130229125864
0.01,1038,0.1946007291624485,0.4475914131237914,0.5231301351709514,86.0,0.2529906839613429,2.5862708719851577,0.08535624039002786,0.2020334038197477
0.01,1039,0.23899475500322062,0.5274071235210717,0.5082866113478358,98.0,0.288412368517851,4.6938775510204085,0.07629750110689956,0.25452306740264835
0.01,1040,0.19466309499570528,0.4458440131005834,0.5194752186588921,37.0,0.25118091810487814,0.6040816326530613,0.07234531334371042,0.19628584649185482
0.01,1041,0.29496894196823736,0.5490026731436999,0.5315407041937654,19.0,0.2540337311754625,1.7770800627943486,0.029750067389747732,0.30084386075409014
0.01,1042,0.21211393060429656,0.45653770876065375,0.5199151868539623,19.0,0.24442377815635716,4.860853432282004,0.04874039992016146,0.22544151145402513
0.01,1043,0.2674300354165901,0.48417608403831713,0.5060539992394473,68.0,0.2167460486217269,3.339840283939663,0.03299570231662252,0.27781046499751666
0.01,1044,0.24701073003446755,0.5670775834911144,0.49159183673469387,51.0,0.32006685345664676,4.26530612244898,0.0767911546779005,0.2614372049662273
0.01,1045,0.3032259956922063,0.5181415173892829,0.4409246147438567,230.0,0.21491552169707653,1.1739552964042759,0.035270542205294075,0.3072469985024587
0.01,1046,0.2734285320503554,0.5591432786852034,0.5278547490896429,44.0,0.28571474663484797,2.2544937544429775,0.036030608267317056,0.2805661870270331
0.01,1046,0.1274357266923248,0.40115103634800503,0.48425392919394755,44.0,0.2737153096556802,6.459550907413103,0.07339725156736539,0.1413044953324218
0.01,1047,0.2687684089022822,0.5656995915584042,0.5202539807131644,20.0,0.29693118265612206,1.6352694924123494,0.0478479513810642,0.27403201377466124
0.01,1048,0.29042758376113464,0.5285894726557377,0.5224606413994168,17.0,0.2381618888946031,3.502040816326531,0.029499224348507828,0.30203815822006674
0.01,1049,0.24586434136837051,0.48143882209331973,0.4945092322643343,36.0,0.2355744807249492,3.5600907029478455,0.0463110343560039,0.2566500300560561
0.01,1050,0.27455809198094394,0.5664192684762086,0.5346377912867274,11.0,0.2918611764952646,1.6932624113475176,0.05388583574485242,0.2802153009443876
0.01,1051,0.35106689606100294,0.5555465065102272,0.5056268221574344,21.0,0.20447961044922416,1.4761904761904763,0.037522475299768564,0.35688916310410773
0.01,1052,0.25899783672218235,0.5242484147535256,0.5357208933527157,22.0,0.2652505780313432,2.7813752698119023,0.030497401656447556,0.26728014784301224
0.01,1053,0.2802776029103119,0.5317841063106844,0.5046792513197889,37.0,0.25150650340037245,3.690742814483016,0.03521848431814868,0.2923679766808517
0.01,1054,0.2521028949922879,0.5463606470170757,0.5315227629513344,24.0,0.29425775202478777,1.205651491365777,0.08163311756857496,0.25617569194211853
0.01,1055,0.2814112521726352,0.5661015591602121,0.5440751538710722,13.0,0.2846903069875768,1.124716553287982,0.03984586241472479,0.28506558500529583
0.01,1056,0.26666423168082876,0.5594019150315702,0.5408551992225462,15.0,0.2927376833507414,0.19047619047619047,0.03853614249523396,0.2672466751429968
0.01,1057,0.28035106327927667,0.5281955383990096,0.5186743528580263,15.0,0.2478444751197329,1.8243661100803956,0.03737241053335033,0.2862552160209916
0.01,1058,0.22449571000156254,0.4963370144215459,0.5121468327590776,63.0,0.27184130441998333,4.337662337662337,0.053226869304656886,0.23708861544390264
0.01,1059,0.2527845955106797,0.5148643973885517,0.5204395604395604,17.0,0.26207980187787194,3.0706436420722136,0.04370495050543022,0.26217714461678737
0.01,1060,0.23065100452866036,0.493691716670212,0.5128901846452867,34.0,0.26304071214155156,2.9224489795918367,0.06999480143390896,0.23970172758067848
0.01,1061,0.2416359869763217,0.5355223656371543,0.5179008746355684,27.0,0.29388637866083256,2.047619047619048,0.06556047972479195,0.24805769240565953
0.01,1062,0.2589333844188561,0.4947001057479013,0.5179399501208012,22.0,0.23576672132904508,3.668848881614839,0.04989588277762041,0.270695393887333
0.01,1063,0.3304657990367612,0.6340275985813796,0.4904402332361516,99.0,0.3035617995446183,2.2285714285714286,0.025744240760044106,0.3385851395113815
0.01,1064,0.42913574640441265,0.6859258870566788,0.506380674718867,20.0,0.2567901406522661,0.402332361516035,0.04054265198816954,0.43103304805473097
0.01,1065,0.20576258400020037,0.4765711188774888,0.5197157434402332,37.0,0.2708085348772884,3.877551020408163,0.060202310258430085,0.21649152877921093
0.01,1066,0.16869998010428514,0.4155900050625896,0.4900983965014577,156.0,0.24689002495830442,8.53061224489796,0.07956452317681115,0.19185360847811336
0.01,1067,0.2557288384389951,0.5025694709650421,0.5266316812439261,29.0,0.24684063252604704,1.6435374149659863,0.04880799248527787,0.26081765174830346
0.01,1068,0.1753689526796352,0.47995724757397995,0.5264431486880466,23.0,0.3045882948943447,2.693877551020408,0.07414977392386937,0.18227676977520205
0.01,1069,0.3499697998522595,0.5438030896201063,0.5082546316398899,26.0,0.19383328976784672,0.5635764944275583,0.05945466849377713,0.35229029769870907
0.01,1070,0.38395219997912544,0.6197464687447766,0.4395932944606414,213.0,0.23579426876565113,0.17551020408163265,0.02792117057153572,0.3846763507307989
0.01,1071,0.21719004291409041,0.5334685364399157,0.5333904990567655,26.0,0.3162784935258251,1.5990396158463385,0.07585670452701475,0.2219521240627283
0.01,1072,0.3293160198183231,0.6101181361277535,0.5428820634228396,97.0,0.28080211630943025,0.5494984736153511,0.03661840069630407,0.33133793426249264
0.01,1072,0.11657856400236588,0.3816001300992304,0.5029869767812337,97.0,0.26502156609686445,9.489824365765264,0.08372562495058017,0.13758008741750258
0.01,1073,0.30219566448477214,0.5274827323482897,0.522405247813411,21.0,0.2252870678635174,2.557823129251701,0.0328506211292262,0.3109905125293731
0.01,1074,0.2588227589805653,0.5254595865089094,0.5191977301124531,27.0,0.26663682752834417,1.7553449951409135,0.05744901002470856,0.2644736116076147
0.01,1075,0.24429711741163992,0.48665840587805337,0.495494655004859,26.0,0.24236128846641333,4.266666666666667,0.033671588380021655,0.25668569482853854
